Command Sent Home Command - #0,5,00111111*79ad  * 08-04-2025 14:21:44.115
CRC-Response  - 73,5,F000*3243 * 08-04-2025 17:40:07.64
Command Sent READ TEMPERATURE - #74,11*79ca  * 08-04-2025 17:40:12.251
CRC-Response  - 74,11,F000,545*8e1a * 08-04-2025 17:40:12.464
Command Sent Home Command - #75,5,00111111*2b8c  * 08-04-2025 17:40:24.103
CRC-Response  - 75,5,I001,00111111*d10c * 08-04-2025 17:40:24.448
CRC-Response  - 75,5,F000*18c3 * 08-04-2025 17:40:24.466
Command Sent HEATER DOOR OPEN - #76,8,1,1*d876  * 08-04-2025 17:40:25.117
CRC-Response  - 76,8,I001*c440 * 08-04-2025 17:40:25.327
CRC-Response  - 76,8,F000*1082 * 08-04-2025 17:40:25.668
Rack - 17Protocol Started * 08-04-2025 17:40:25.828
Command Sent Rack-17 Picked from L2 - #77,2,2,13934,16380,0,0*e7a5  * 08-04-2025 17:40:26.19
CRC-Response  - 77,2,I001,2*fc7c * 08-04-2025 17:40:26.239
CRC-Response  - 77,2,F000,2*c32d * 08-04-2025 17:40:33.1
RA Picked Rack From L2 * 08-04-2025 17:40:33.5
Command Sent Rack-17 Placed in H1 - #78,3,2,2688,1000,0,1*9522  * 08-04-2025 17:40:33.468
CRC-Response  - 78,3,I001,2*008d * 08-04-2025 17:40:33.676
CRC-Response  - 78,3,F000,2*3fdc * 08-04-2025 17:40:40.143
RA Placed Rack in H1 * 08-04-2025 17:40:40.158
Command Sent HEATER DOOR CLOSE - #79,8,1,0*1848  * 08-04-2025 17:40:40.942
CRC-Response  - 79,8,I001*8400 * 08-04-2025 17:40:41.150
CRC-Response  - 79,8,F000*50c2 * 08-04-2025 17:40:41.493
Command Sent READ TEMPERATURE - #80,11*489f  * 08-04-2025 17:40:41.859
CRC-Response  - 80,11,F000,545*051b * 08-04-2025 17:40:42.66
Command Sent READ TEMPERATURE - #81,11*b49e  * 08-04-2025 17:40:57.244
CRC-Response  - 81,11,F000,545*8419 * 08-04-2025 17:40:57.451
Command Sent READ TEMPERATURE - #82,11*f09e  * 08-04-2025 17:41:01.877
CRC-Response  - 82,11,F000,545*471c * 08-04-2025 17:41:02.102
Command Sent READ TEMPERATURE - #83,11*0c9f  * 08-04-2025 17:41:19.622
CRC-Response  - 83,11,F000,545*c61e * 08-04-2025 17:41:19.831
Command Sent Rack-11 Picked from J21 - #84,2,2,28454,8590,0,0*25c9  * 08-04-2025 17:41:20.689
CRC-Response  - 84,2,I001,2*e7bc * 08-04-2025 17:41:20.912
CRC-Response  - 84,2,F000,2*d8ed * 08-04-2025 17:41:28.986
RA Picked Rack From J21 * 08-04-2025 17:41:29.5
11 Secconds Timer increments in Jar J3 for R14 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 08-04-2025 17:41:29.32
Command Sent Rack-11 Placed in J22 - #85,3,2,24824,8590,0,0*a0be  * 08-04-2025 17:41:29.650
CRC-Response  - 85,3,I001,2*ee2c * 08-04-2025 17:41:29.865
CRC-Response  - 85,3,F000,2*d17d * 08-04-2025 17:41:35.469
RA Placed Rack in J22 * 08-04-2025 17:41:35.474
Command Sent READ TEMPERATURE - #86,11*c09f  * 08-04-2025 17:41:39.695
CRC-Response  - 86,11,F000,545*c312 * 08-04-2025 17:41:39.910
Command Sent Rack-14 Picked from J3 - #87,2,2,17564,800,0,0*22f0  * 08-04-2025 17:41:40.262
CRC-Response  - 87,2,I001,2*e84c * 08-04-2025 17:41:40.479
5 Seconds Timer increments in Jar J25 for R10 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 08-04-2025 17:41:43.232
CRC-Response  - 87,2,F000,2*d71d * 08-04-2025 17:41:46.487
RA Picked Rack From J3 * 08-04-2025 17:41:46.489
Command Sent Rack-14 Placed in J4 - #88,3,2,21194,800,0,0*6cde  * 08-04-2025 17:41:47.213
CRC-Response  - 88,3,I001,2*14bd * 08-04-2025 17:41:47.426
5 Seconds Timer increments in Jar J25 for R10 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 08-04-2025 17:41:48.253
CRC-Response  - 88,3,F000,2*2bec * 08-04-2025 17:41:53.23
RA Placed Rack in J4 * 08-04-2025 17:41:53.34
11 Seconds Timer increments in Jar J25 for R10 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 08-04-2025 17:41:53.260
Command Sent Rack-10 Picked from J25 - #89,2,2,13934,8590,0,0*ea0e  * 08-04-2025 17:42:04.508
CRC-Response  - 89,2,I001,2*1d2d * 08-04-2025 17:42:04.724
CRC-Response  - 89,2,F000,2*227c * 08-04-2025 17:42:10.734
RA Picked Rack From J25 * 08-04-2025 17:42:10.740
Command Sent RA-1 Movement - #90,1,1,64754,800 ,0*3401  * 08-04-2025 17:42:11.468
CRC-Response  - 90,1,I001,1*daf9 * 08-04-2025 17:42:11.689
5 Secconds Timer increments in Jar W2 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 17:42:12.31
CRC-Response  - 90,1,F000,1*e5a8 * 08-04-2025 17:42:12.679
RA Moved to assigned Location * 08-04-2025 17:42:12.688
Command Sent Rack-10 Placed in U2 - #91,3,2,57494,16380,0,0*639b  * 08-04-2025 17:42:12.874
CRC-Response  - 91,3,I001,2*c769 * 08-04-2025 17:42:13.95
5 Secconds Timer increments in Jar W2 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 17:42:17.44
5 Secconds Timer increments in Jar W2 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 17:42:22.63
CRC-Response  - 91,3,F000,2*f838 * 08-04-2025 17:42:23.169
RA Placed Rack in U2 * 08-04-2025 17:42:23.175
Command Sent RA2 Home Command - #92,5,00111000*fefe  * 08-04-2025 17:42:23.863
CRC-Response  - 92,5,I001,00111000*9b4d * 08-04-2025 17:42:24.80
R10Protocol End Time * 08-04-2025 17:42:24.602
CRC-Response  - 92,5,F000*9ece * 08-04-2025 17:42:26.697
11 Secconds Timer increments in Jar W2 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 17:42:27.64
Command Sent RA2 Home Command - #93,5,00111000*3d03  * 08-04-2025 17:42:28.304
CRC-Response  - 93,5,I001,00111000*0b1c * 08-04-2025 17:42:28.514
CRC-Response  - 93,5,F000*520f * 08-04-2025 17:42:28.524
Command Sent Rack-15 Picked from J1 - #94,2,2,10304,800,0,0*eb82  * 08-04-2025 17:42:32.13
CRC-Response  - 94,2,I001,2*1bb8 * 08-04-2025 17:42:32.223
5 Secconds Timer increments in Jar W2 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 17:42:38.75
CRC-Response  - 94,2,F000,2*24e9 * 08-04-2025 17:42:38.569
RA Picked Rack From J1 * 08-04-2025 17:42:38.576
Command Sent Rack-15 Placed in J2 - #95,3,2,13934,800,0,0*543b  * 08-04-2025 17:42:38.952
CRC-Response  - 95,3,I001,2*1228 * 08-04-2025 17:42:39.173
5 Secconds Timer increments in Jar W2 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 17:42:43.74
CRC-Response  - 95,3,F000,2*2d79 * 08-04-2025 17:42:44.763
RA Placed Rack in J2 * 08-04-2025 17:42:44.770
Command Sent WATER VALVE - 2 CONTROL OFF - #96,13,2,0*f3ef  * 08-04-2025 17:42:48.258
CRC-Response  - 96,13,F000*ae68 * 08-04-2025 17:42:48.464
Command Sent Rack-12 Picked from W2 - #97,2,1,46604,800,0,0*6f90  * 08-04-2025 17:42:48.656
CRC-Response  - 97,2,I001,1*1508 * 08-04-2025 17:42:48.867
CRC-Response  - 97,2,F000,1*2a59 * 08-04-2025 17:42:56.101
RA Picked Rack From W2 * 08-04-2025 17:42:56.107
Command Sent Rack-12 Dipped in J18 - #98,17,1,39344,8590,1,1,1*f296  * 08-04-2025 17:42:57.146
CRC-Response  - 98,17,I001,1*4c17 * 08-04-2025 17:42:57.353
CRC-Response  - 98,17,F000,1*7346 * 08-04-2025 17:43:03.187
Command Sent Rack-12 Placed in W6 - #99,3,1,42974,8590,0,0*821d  * 08-04-2025 17:43:04.107
CRC-Response  - 99,3,I001,1*2ca8 * 08-04-2025 17:43:04.326
5 Secconds Timer increments in Jar W1 for R13 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 08-04-2025 17:43:04.428
5 Secconds Timer increments in Jar W1 for R13 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 08-04-2025 17:43:09.429
CRC-Response  - 99,3,F000,1*13f9 * 08-04-2025 17:43:09.938
RA Placed Rack in W6 * 08-04-2025 17:43:09.944
Command Sent WATER VALVE - 1 CONTROL OFF - #100,13,1,0*44de  * 08-04-2025 17:43:14.611
CRC-Response  - 100,13,F000*3e1e * 08-04-2025 17:43:14.817
Command Sent Rack-13 Picked from W1 - #101,2,1,42974,800,0,0*5cae  * 08-04-2025 17:43:15.3
CRC-Response  - 101,2,I001,1*f319 * 08-04-2025 17:43:15.218
CRC-Response  - 101,2,F000,1*cc48 * 08-04-2025 17:43:21.2
RA Picked Rack From W1 * 08-04-2025 17:43:21.8
Command Sent RA-2 Movement - #102,1,2,2688,800 ,0*cf65  * 08-04-2025 17:43:21.446
CRC-Response  - 102,1,I001,2*e8e9 * 08-04-2025 17:43:21.654
CRC-Response  - 102,1,F000,2*d7b8 * 08-04-2025 17:43:23.767
RA Moved to assigned Location * 08-04-2025 17:43:23.780
Command Sent Rack-13 Placed in J8 - #103,3,1,35714,800,0,0*0fac  * 08-04-2025 17:43:24.834
CRC-Response  - 103,3,I001,1*f579 * 08-04-2025 17:43:25.48
CRC-Response  - 103,3,F000,1*ca28 * 08-04-2025 17:43:31.56
RA Placed Rack in J8 * 08-04-2025 17:43:31.61
Command Sent RA1 Home Command - #104,5,00000111*59df  * 08-04-2025 17:43:31.283
CRC-Response  - 104,5,I001,00000111*e1f6 * 08-04-2025 17:43:31.580
CRC-Response  - 104,5,F000*290f * 08-04-2025 17:43:32.179
Command Sent RA1 Home Command - #105,5,00000111*9a22  * 08-04-2025 17:43:33.807
CRC-Response  - 105,5,I001,00000111*71a7 * 08-04-2025 17:43:34.15
CRC-Response  - 105,5,F000*e5ce * 08-04-2025 17:43:34.22
Command Sent READ TEMPERATURE - #106,11*3b5e  * 08-04-2025 17:43:35.443
CRC-Response  - 106,11,F000,447*a0d1 * 08-04-2025 17:43:35.658
Command Sent READ TEMPERATURE - #107,11*c75f  * 08-04-2025 17:43:50.823
CRC-Response  - 107,11,F000,545*2003 * 08-04-2025 17:43:51.34
Command Sent READ TEMPERATURE - #108,11*d35c  * 08-04-2025 17:44:06.238
CRC-Response  - 108,11,F000,545*2f17 * 08-04-2025 17:44:06.457
Command Sent READ TEMPERATURE - #109,11*2f5d  * 08-04-2025 17:44:22.667
CRC-Response  - 109,11,F000,545*ae15 * 08-04-2025 17:44:22.888
Command Sent Rack-11 Picked from J22 - #110,2,2,24824,8590,0,0*5b19  * 08-04-2025 17:44:36.377
CRC-Response  - 110,2,I001,2*cb0c * 08-04-2025 17:44:36.593
CRC-Response  - 110,2,F000,2*f45d * 08-04-2025 17:44:44.262
RA Picked Rack From J22 * 08-04-2025 17:44:44.267
Command Sent Rack-11 Placed in J23 - #111,3,2,21194,8590,0,0*4b40  * 08-04-2025 17:44:44.829
CRC-Response  - 111,3,I001,2*c29c * 08-04-2025 17:44:45.37
CRC-Response  - 111,3,F000,2*fdcd * 08-04-2025 17:44:50.649
RA Placed Rack in J23 * 08-04-2025 17:44:50.653
Command Sent Rack-14 Picked from J4 - #112,2,2,21194,800,0,0*9fd2  * 08-04-2025 17:44:53.874
CRC-Response  - 112,2,I001,2*01ad * 08-04-2025 17:44:54.92
CRC-Response  - 112,2,F000,2*3efc * 08-04-2025 17:44:59.876
RA Picked Rack From J4 * 08-04-2025 17:44:59.880
Command Sent Rack-14 Placed in J5 - #113,3,2,24824,800,0,0*86ed  * 08-04-2025 17:45:00.319
CRC-Response  - 113,3,I001,2*083d * 08-04-2025 17:45:00.525
CRC-Response  - 113,3,F000,2*376c * 08-04-2025 17:45:06.132
RA Placed Rack in J5 * 08-04-2025 17:45:06.137
Command Sent READ TEMPERATURE - #114,11*4362  * 08-04-2025 17:45:10.395
CRC-Response  - 114,11,F000,545*2206 * 08-04-2025 17:45:10.608
Command Sent READ TEMPERATURE - #115,11*bf63  * 08-04-2025 17:45:25.766
CRC-Response  - 115,11,F000,-273*1705 * 08-04-2025 17:45:25.984
Command Sent READ TEMPERATURE - #116,11*fb63  * 08-04-2025 17:45:41.136
CRC-Response  - 116,11,F000,-273*1406 * 08-04-2025 17:45:41.345
Command Sent READ TEMPERATURE - #117,11*0762  * 08-04-2025 17:45:57.531
CRC-Response  - 117,11,F000,545*e103 * 08-04-2025 17:45:57.746
Command Sent WATER VALVE - 6 CONTROL OFF - #118,13,6,0*b363  * 08-04-2025 17:46:10.716
CRC-Response  - 118,13,F000*3b28 * 08-04-2025 17:46:10.929
Command Sent Rack-12 Picked from W6 - #119,2,1,42974,8590,0,0*fd66  * 08-04-2025 17:46:11.116
CRC-Response  - 119,2,I001,1*e59c * 08-04-2025 17:46:11.331
CRC-Response  - 119,2,F000,1*dacd * 08-04-2025 17:46:19.112
RA Picked Rack From W6 * 08-04-2025 17:46:19.120
Command Sent RA-2 Movement - #120,1,2,2688,800 ,0*1765  * 08-04-2025 17:46:19.587
CRC-Response  - 120,1,I001,2*9a43 * 08-04-2025 17:46:19.798
CRC-Response  - 120,1,F000,2*a512 * 08-04-2025 17:46:23.128
RA Moved to assigned Location * 08-04-2025 17:46:23.135
Command Sent Rack-12 Dipped in J19 - #121,17,1,35714,8590,1,1,1*0b9d  * 08-04-2025 17:46:23.967
CRC-Response  - 121,17,I001,1*93f8 * 08-04-2025 17:46:24.180
CRC-Response  - 121,17,F000,1*aca9 * 08-04-2025 17:46:29.995
Command Sent Rack-12 Placed in J20 - #122,3,1,32084,8590,0,0*878b  * 08-04-2025 17:46:30.401
CRC-Response  - 122,3,I001,1*8823 * 08-04-2025 17:46:30.613
CRC-Response  - 122,3,F000,1*b772 * 08-04-2025 17:46:36.219
RA Placed Rack in J20 * 08-04-2025 17:46:36.223
Command Sent RA1 Home Command - #123,5,00000111*d02d  * 08-04-2025 17:46:36.887
CRC-Response  - 123,5,I001,00000111*68e5 * 08-04-2025 17:46:37.103
CRC-Response  - 123,5,F000*af57 * 08-04-2025 17:46:37.638
Command Sent RA1 Home Command - #124,5,00000111*1bd8  * 08-04-2025 17:46:39.317
CRC-Response  - 124,5,I001,00000111*5957 * 08-04-2025 17:46:39.537
CRC-Response  - 124,5,F000*4916 * 08-04-2025 17:46:39.555
Command Sent READ TEMPERATURE - #125,11*bf27  * 08-04-2025 17:46:40.750
CRC-Response  - 125,11,F000,447*a1d7 * 08-04-2025 17:46:40.959
Command Sent READ TEMPERATURE - #126,11*fb27  * 08-04-2025 17:46:56.137
CRC-Response  - 126,11,F000,545*6302 * 08-04-2025 17:46:56.353
Command Sent READ TEMPERATURE - #127,11*0726  * 08-04-2025 17:47:11.525
CRC-Response  - 127,11,F000,545*e200 * 08-04-2025 17:47:11.738
Command Sent READ TEMPERATURE - #128,11*1325  * 08-04-2025 17:47:26.930
CRC-Response  - 128,11,F000,545*ed14 * 08-04-2025 17:47:27.159
Command Sent READ TEMPERATURE - #129,11*ef24  * 08-04-2025 17:47:43.346
CRC-Response  - 129,11,F000,447*6dc6 * 08-04-2025 17:47:43.560
Command Sent Rack-15 Picked from J2 - #130,2,2,13934,800,0,0*8124  * 08-04-2025 17:47:45.917
CRC-Response  - 130,2,I001,2*7307 * 08-04-2025 17:47:46.134
5 Secconds Timer increments in Jar J23 for R11 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 08-04-2025 17:47:51.324
CRC-Response  - 130,2,F000,2*4c56 * 08-04-2025 17:47:52.585
RA Picked Rack From J2 * 08-04-2025 17:47:52.588
Command Sent Rack-15 Placed in J3 - #131,3,2,17564,800,0,0*6296  * 08-04-2025 17:47:52.852
CRC-Response  - 131,3,I001,2*7a97 * 08-04-2025 17:47:53.62
5 Secconds Timer increments in Jar J23 for R11 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 08-04-2025 17:47:56.346
CRC-Response  - 131,3,F000,2*45c6 * 08-04-2025 17:47:58.672
RA Placed Rack in J3 * 08-04-2025 17:47:58.677
Command Sent Rack-11 Picked from J23 - #132,2,2,21194,8590,0,0*6676  * 08-04-2025 17:48:01.517
CRC-Response  - 132,2,I001,2*b9a6 * 08-04-2025 17:48:01.737
5 Secconds Timer increments in Jar J5 for R14 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 08-04-2025 17:48:06.863
CRC-Response  - 132,2,F000,2*86f7 * 08-04-2025 17:48:07.528
RA Picked Rack From J23 * 08-04-2025 17:48:07.534
Command Sent Rack-11 Placed in J24 - #133,3,2,17564,8590,0,0*55d1  * 08-04-2025 17:48:08.31
CRC-Response  - 133,3,I001,2*b036 * 08-04-2025 17:48:08.250
5 Secconds Timer increments in Jar J5 for R14 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 08-04-2025 17:48:11.866
CRC-Response  - 133,3,F000,2*8f67 * 08-04-2025 17:48:13.844
RA Placed Rack in J24 * 08-04-2025 17:48:13.849
Command Sent Rack-14 Picked from J5 - #134,2,2,24824,800,0,0*8070  * 08-04-2025 17:48:17.77
CRC-Response  - 134,2,I001,2*a646 * 08-04-2025 17:48:17.290
CRC-Response  - 134,2,F000,2*9917 * 08-04-2025 17:48:23.308
RA Picked Rack From J5 * 08-04-2025 17:48:23.314
Command Sent Rack-14 Placed in J6 - #135,3,2,28454,800,0,0*7682  * 08-04-2025 17:48:23.555
CRC-Response  - 135,3,I001,2*afd6 * 08-04-2025 17:48:23.768
CRC-Response  - 135,3,F000,2*9087 * 08-04-2025 17:48:29.379
RA Placed Rack in J6 * 08-04-2025 17:48:29.392
Command Sent READ TEMPERATURE - #136,11*3b1a  * 08-04-2025 17:48:33.908
CRC-Response  - 136,11,F000,545*a202 * 08-04-2025 17:48:34.119
Command Sent READ TEMPERATURE - #137,11*c71b  * 08-04-2025 17:48:49.286
CRC-Response  - 137,11,F000,545*2300 * 08-04-2025 17:48:49.498
Command Sent READ TEMPERATURE - #138,11*d318  * 08-04-2025 17:49:04.679
CRC-Response  - 138,11,F000,447*2dc4 * 08-04-2025 17:49:04.893
Command Sent READ TEMPERATURE - #139,11*2f19  * 08-04-2025 17:49:21.63
CRC-Response  - 139,11,F000,-273*1a8b * 08-04-2025 17:49:21.274
Command Sent HEATER DOOR OPEN - #140,8,1,1*a743  * 08-04-2025 17:49:25.628
CRC-Response  - 140,8,I001*d3ff * 08-04-2025 17:49:25.841
CRC-Response  - 140,8,F000*073d * 08-04-2025 17:49:26.182
Command Sent Rack-16 Picked from H2 - #141,2,2,2688,8700,0,1*2344  * 08-04-2025 17:49:26.528
CRC-Response  - 141,2,I001,2*c24c * 08-04-2025 17:49:26.737
CRC-Response  - 141,2,F000,2*fd1d * 08-04-2025 17:49:34.837
RA Picked Rack From H2 * 08-04-2025 17:49:34.842
Command Sent HEATER DOOR CLOSE - #142,8,1,0*a7a1  * 08-04-2025 17:49:35.427
CRC-Response  - 142,8,I001*0a7e * 08-04-2025 17:49:35.639
CRC-Response  - 142,8,F000*debc * 08-04-2025 17:49:35.981
Command Sent Rack-16 Placed in J1 - #143,3,2,10304,800,0,0*3151  * 08-04-2025 17:49:36.333
CRC-Response  - 143,3,I001,2*c42c * 08-04-2025 17:49:36.553
5 Secconds Timer increments in Jar J20 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 17:49:36.872
5 Secconds Timer increments in Jar J20 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 17:49:41.889
CRC-Response  - 143,3,F000,2*fb7d * 08-04-2025 17:49:42.609
RA Placed Rack in J1 * 08-04-2025 17:49:42.615
Command Sent Rack-12 Picked from J20 - #144,2,2,32084,8590,0,0*8a74  * 08-04-2025 17:49:47.79
CRC-Response  - 144,2,I001,2*d25c * 08-04-2025 17:49:47.292
CRC-Response  - 144,2,F000,2*ed0d * 08-04-2025 17:49:54.933
RA Picked Rack From J20 * 08-04-2025 17:49:54.939
Command Sent Rack-12 Placed in J21 - #145,3,2,28454,8590,0,0*0fca  * 08-04-2025 17:49:55.553
CRC-Response  - 145,3,I001,2*dbcc * 08-04-2025 17:49:55.768
CRC-Response  - 145,3,F000,2*e49d * 08-04-2025 17:50:01.372
RA Placed Rack in J21 * 08-04-2025 17:50:01.376
Command Sent READ TEMPERATURE - #146,11*fbaf  * 08-04-2025 17:50:05.668
CRC-Response  - 146,11,F000,545*6504 * 08-04-2025 17:50:05.884
Command Sent READ TEMPERATURE - #147,11*07ae  * 08-04-2025 17:50:21.59
CRC-Response  - 147,11,F000,545*e406 * 08-04-2025 17:50:21.372
Command Sent READ TEMPERATURE - #148,11*13ad  * 08-04-2025 17:50:36.562
CRC-Response  - 148,11,F000,545*eb12 * 08-04-2025 17:50:36.910
Command Sent READ TEMPERATURE - #149,11*efac  * 08-04-2025 17:50:52.100
CRC-Response  - 149,11,F000,447*6bc0 * 08-04-2025 17:50:52.322
Command Sent READ TEMPERATURE - #150,11*b392  * 08-04-2025 17:51:08.488
CRC-Response  - 150,11,F000,545*620d * 08-04-2025 17:51:08.692
Command Sent Rack-11 Picked from J24 - #151,2,2,17564,8590,0,0*2d9f  * 08-04-2025 17:51:14.719
CRC-Response  - 151,2,I001,2*3e48 * 08-04-2025 17:51:14.936
CRC-Response  - 151,2,F000,2*0119 * 08-04-2025 17:51:21.350
RA Picked Rack From J24 * 08-04-2025 17:51:21.361
Command Sent Rack-11 Placed in J25 - #152,3,2,13934,8590,0,0*ba85  * 08-04-2025 17:51:21.651
CRC-Response  - 152,3,I001,2*fd79 * 08-04-2025 17:51:21.858
CRC-Response  - 152,3,F000,2*c228 * 08-04-2025 17:51:27.472
RA Placed Rack in J25 * 08-04-2025 17:51:27.476
Command Sent WATER VALVE - 2 CONTROL ON - #153,13,2,1*c190  * 08-04-2025 17:51:28.738
CRC-Response  - 153,13,F000*de1a * 08-04-2025 17:51:28.951
Command Sent Rack-14 Picked from J6 - #154,2,2,28454,800,0,0*7c66  * 08-04-2025 17:51:30.323
CRC-Response  - 154,2,I001,2*2e58 * 08-04-2025 17:51:30.544
5 Secconds Timer increments in Jar J8 for R13 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 08-04-2025 17:51:31.574
5 Secconds Timer increments in Jar J8 for R13 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 08-04-2025 17:51:36.579
CRC-Response  - 154,2,F000,2*1109 * 08-04-2025 17:51:37.363
RA Picked Rack From J6 * 08-04-2025 17:51:37.366
Command Sent RA-1 Movement - #155,1,1,64754,800 ,0*b27a  * 08-04-2025 17:51:37.783
CRC-Response  - 155,1,I001,1*ff09 * 08-04-2025 17:51:37.997
CRC-Response  - 155,1,F000,1*c058 * 08-04-2025 17:51:38.987
RA Moved to assigned Location * 08-04-2025 17:51:38.993
Command Sent Rack-14 Placed in W1 - #156,3,2,42974,800,0,0*ecc5  * 08-04-2025 17:51:39.221
CRC-Response  - 156,3,I001,2*2838 * 08-04-2025 17:51:39.433
5 Secconds Timer increments in Jar J8 for R13 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 08-04-2025 17:51:41.581
CRC-Response  - 156,3,F000,2*1769 * 08-04-2025 17:51:46.264
RA Placed Rack in W1 * 08-04-2025 17:51:46.279
11 Secconds Timer increments in Jar J8 for R13 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 08-04-2025 17:51:46.639
Command Sent RA2 Home Command - #157,5,00111000*257b  * 08-04-2025 17:51:46.642
CRC-Response  - 157,5,I001,00111000*a1ba * 08-04-2025 17:51:46.851
CRC-Response  - 157,5,F000*6c70 * 08-04-2025 17:51:47.411
Command Sent RA2 Home Command - #158,5,00111000*316f  * 08-04-2025 17:51:49.97
CRC-Response  - 158,5,I001,00111000*528f * 08-04-2025 17:51:49.315
CRC-Response  - 158,5,F000*2c30 * 08-04-2025 17:51:49.334
Command Sent Rack-13 Picked from J8 - #159,2,2,35714,800,0,0*12e9  * 08-04-2025 17:51:57.808
CRC-Response  - 159,2,I001,2*d4c9 * 08-04-2025 17:51:58.19
CRC-Response  - 159,2,F000,2*eb98 * 08-04-2025 17:52:07.210
RA Picked Rack From J8 * 08-04-2025 17:52:07.216
Command Sent RA-1 Movement - #160,1,1,64754,800 ,0*3b2e  * 08-04-2025 17:52:07.784
CRC-Response  - 160,1,I001,1*ab16 * 08-04-2025 17:52:07.994
CRC-Response  - 160,1,F000,1*9447 * 08-04-2025 17:52:08.736
RA Moved to assigned Location * 08-04-2025 17:52:08.744
Command Sent Rack-13 Placed in W2 - #161,3,2,46604,800,0,0*aa44  * 08-04-2025 17:52:09.159
CRC-Response  - 161,3,I001,2*b686 * 08-04-2025 17:52:09.370
CRC-Response  - 161,3,F000,2*89d7 * 08-04-2025 17:52:15.786
RA Placed Rack in W2 * 08-04-2025 17:52:15.798
Command Sent RA2 Home Command - #162,5,00111000*ea72  * 08-04-2025 17:52:16.149
CRC-Response  - 162,5,I001,00111000*b459 * 08-04-2025 17:52:16.356
CRC-Response  - 162,5,F000*a3a4 * 08-04-2025 17:52:16.912
Command Sent RA2 Home Command - #163,5,00111000*298f  * 08-04-2025 17:52:18.632
CRC-Response  - 163,5,I001,00111000*2408 * 08-04-2025 17:52:18.843
CRC-Response  - 163,5,F000*6f65 * 08-04-2025 17:52:18.853
Command Sent Home Command - #164,11*83d7  * 08-04-2025 17:52:20.850
CRC-Response  - 164,11,F000,545*e500 * 08-04-2025 17:52:21.60
Command Sent Home Command - #165,5,00111111*b116  * 08-04-2025 17:52:21.268
CRC-Response  - 165,5,I001,00111111*157a * 08-04-2025 17:52:21.479
CRC-Response  - 165,5,F000*45e5 * 08-04-2025 17:52:21.503
Command Sent READ TEMPERATURE - #166,11*3bd6  * 08-04-2025 17:52:36.233
CRC-Response  - 166,11,F000,545*a707 * 08-04-2025 17:52:36.452
Command Sent READ TEMPERATURE - #167,11*c7d7  * 08-04-2025 17:52:38.651
CRC-Response  - 167,11,F000,545*2605 * 08-04-2025 17:52:38.864
Command Sent READ TEMPERATURE - #168,11*d3d4  * 08-04-2025 17:52:56.640
CRC-Response  - 168,11,F000,545*2911 * 08-04-2025 17:52:56.847
11 Secconds Timer increments in Jar J3 for R15 as Command Execution under process in other function and timer updated for tmr_r7_incub() * 08-04-2025 17:52:59.468
11 Secconds Timer increments in Jar J21 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 17:53:02.65
11 Secconds Timer increments in Jar J3 for R15 as Command Execution under process in other function and timer updated for tmr_r7_incub() * 08-04-2025 17:53:10.480
11 Secconds Timer increments in Jar J21 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 17:53:13.116
11 Secconds Timer increments in Jar J3 for R15 as Command Execution under process in other function and timer updated for tmr_r7_incub() * 08-04-2025 17:53:21.474
11 Secconds Timer increments in Jar J21 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 17:53:24.132
11 Secconds Timer increments in Jar J3 for R15 as Command Execution under process in other function and timer updated for tmr_r7_incub() * 08-04-2025 17:53:32.492
11 Secconds Timer increments in Jar J21 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 17:53:35.157
11 Secconds Timer increments in Jar J3 for R15 as Command Execution under process in other function and timer updated for tmr_r7_incub() * 08-04-2025 17:53:43.515
11 Secconds Timer increments in Jar J21 for R12 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 08-04-2025 17:53:46.185
