Command Sent SET TEMPERATURE - #0,10,32*870a  * 07-04-2025 16:26:51.990
5 Seconds Timer increments in Jar J24 for R1 as Command Execution under process in other function and timer updated for tmr_r1_incub() * 07-04-2025 17:05:41.359
CRC-Response  - 40,3,F000,2*9152 * 07-04-2025 17:05:43.55
RA Placed Rack in J20 * 07-04-2025 17:05:43.60
11 Secconds Timer increments in Jar W1 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:05:43.289
Command Sent Rack-1 Picked from J24 - #41,2,2,17564,8590,0,0*372c  * 07-04-2025 17:05:46.527
CRC-Response  - 41,2,I001,2*a793 * 07-04-2025 17:05:46.744
CRC-Response  - 41,2,F000,2*98c2 * 07-04-2025 17:05:53.568
RA Picked Rack From J24 * 07-04-2025 17:05:53.574
Command Sent Rack-1 Placed in J25 - #42,3,2,13934,8590,0,0*a036  * 07-04-2025 17:05:54.14
CRC-Response  - 42,3,I001,2*64a2 * 07-04-2025 17:05:54.229
5 Secconds Timer increments in Jar W1 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:05:54.293
5 Secconds Timer increments in Jar W1 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:05:59.302
CRC-Response  - 42,3,F000,2*5bf3 * 07-04-2025 17:05:59.837
RA Placed Rack in J25 * 07-04-2025 17:05:59.844
Command Sent WATER VALVE - 1 CONTROL OFF - #43,13,1,0*5c87  * 07-04-2025 17:06:04.464
CRC-Response  - 43,13,F000*04c6 * 07-04-2025 17:06:04.678
Command Sent Rack-4 Picked from W1 - #44,2,1,42974,800,0,0*3689  * 07-04-2025 17:06:04.868
CRC-Response  - 44,2,I001,1*b6c3 * 07-04-2025 17:06:05.75
CRC-Response  - 44,2,F000,1*8992 * 07-04-2025 17:06:10.690
RA Picked Rack From W1 * 07-04-2025 17:06:10.697
Command Sent RA-2 Movement - #45,1,2,2688,800 ,0*f7b1  * 07-04-2025 17:06:11.314
CRC-Response  - 45,1,I001,2*6792 * 07-04-2025 17:06:11.523
CRC-Response  - 45,1,F000,2*58c3 * 07-04-2025 17:06:13.636
RA Moved to assigned Location * 07-04-2025 17:06:13.642
Command Sent Rack-4 Placed in J8 - #46,3,1,35714,800,0,0*658b  * 07-04-2025 17:06:14.728
CRC-Response  - 46,3,I001,1*b0a3 * 07-04-2025 17:06:14.934
CRC-Response  - 46,3,F000,1*8ff2 * 07-04-2025 17:06:20.956
RA Placed Rack in J8 * 07-04-2025 17:06:20.961
Command Sent RA-1 Movement - #47,1,1,64754,800 ,0*ec9e  * 07-04-2025 17:06:21.675
CRC-Response  - 47,1,I001,1*ac73 * 07-04-2025 17:06:21.894
CRC-Response  - 47,1,F000,1*9322 * 07-04-2025 17:06:25.979
RA Moved to assigned Location * 07-04-2025 17:06:25.989
Command Sent WATER VALVE - 2 CONTROL ON - #48,13,2,1*2ff7  * 07-04-2025 17:06:26.902
CRC-Response  - 48,13,F000*34b5 * 07-04-2025 17:06:27.110
Command Sent Rack-2 Picked from J20 - #49,2,2,32084,8590,0,0*5dfa  * 07-04-2025 17:06:28.700
CRC-Response  - 49,2,I001,2*4d12 * 07-04-2025 17:06:28.914
5 Secconds Timer increments in Jar J9 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:06:29.740
5 Secconds Timer increments in Jar J9 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:06:34.733
CRC-Response  - 49,2,F000,2*7243 * 07-04-2025 17:06:37.401
RA Picked Rack From J20 * 07-04-2025 17:06:37.405
Command Sent Rack-2 Placed in J21 - #50,3,2,28454,8590,0,0*40b5  * 07-04-2025 17:06:38.108
CRC-Response  - 50,3,I001,2*5207 * 07-04-2025 17:06:38.325
5 Secconds Timer increments in Jar J9 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:06:39.742
CRC-Response  - 50,3,F000,2*6d56 * 07-04-2025 17:06:43.927
RA Placed Rack in J21 * 07-04-2025 17:06:43.942
Command Sent Rack-3 Picked from J9 - #51,2,1,39344,800,0,0*6047  * 07-04-2025 17:06:45.71
CRC-Response  - 51,2,I001,1*5ad7 * 07-04-2025 17:06:45.280
5 Secconds Timer increments in Jar J1 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:06:50.951
CRC-Response  - 51,2,F000,1*6586 * 07-04-2025 17:06:53.325
RA Picked Rack From J9 * 07-04-2025 17:06:53.330
Command Sent Rack-3 Placed in W2 - #52,3,1,46604,800,0,0*fe1d  * 07-04-2025 17:06:54.48
CRC-Response  - 52,3,I001,1*99e6 * 07-04-2025 17:06:54.266
5 Secconds Timer increments in Jar J1 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:06:55.953
CRC-Response  - 52,3,F000,1*a6b7 * 07-04-2025 17:07:00.273
RA Placed Rack in W2 * 07-04-2025 17:07:00.278
Command Sent Rack-6 Picked from J1 - #53,2,2,10304,800,0,0*5227  * 07-04-2025 17:07:01.137
CRC-Response  - 53,2,I001,2*9136 * 07-04-2025 17:07:01.349
CRC-Response  - 53,2,F000,2*ae67 * 07-04-2025 17:07:08.579
RA Picked Rack From J1 * 07-04-2025 17:07:08.583
Command Sent Rack-6 Placed in J2 - #54,3,2,13934,800,0,0*6516  * 07-04-2025 17:07:09.108
CRC-Response  - 54,3,I001,2*8746 * 07-04-2025 17:07:09.320
5 Secconds Timer increments in Jar J5 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:07:12.497
CRC-Response  - 54,3,F000,2*b817 * 07-04-2025 17:07:14.923
RA Placed Rack in J2 * 07-04-2025 17:07:14.928
Command Sent Rack-5 Picked from J5 - #55,2,2,24824,800,0,0*38df  * 07-04-2025 17:07:17.719
CRC-Response  - 55,2,I001,2*8ed6 * 07-04-2025 17:07:17.928
CRC-Response  - 55,2,F000,2*b187 * 07-04-2025 17:07:24.338
RA Picked Rack From J5 * 07-04-2025 17:07:24.344
Command Sent Rack-5 Placed in J6 - #56,3,2,28454,800,0,0*7654  * 07-04-2025 17:07:24.726
CRC-Response  - 56,3,I001,2*4de7 * 07-04-2025 17:07:24.941
CRC-Response  - 56,3,F000,2*72b6 * 07-04-2025 17:07:30.552
RA Placed Rack in J6 * 07-04-2025 17:07:30.559
Command Sent Rack-2 Picked from J21 - #57,2,2,28454,8590,0,0*0b51  * 07-04-2025 17:07:44.897
CRC-Response  - 57,2,I001,2*4477 * 07-04-2025 17:07:45.121
CRC-Response  - 57,2,F000,2*7b26 * 07-04-2025 17:07:50.891
RA Picked Rack From J21 * 07-04-2025 17:07:50.897
Command Sent Rack-2 Placed in J22 - #58,3,2,24824,8590,0,0*a14f  * 07-04-2025 17:07:51.355
CRC-Response  - 58,3,I001,2*b886 * 07-04-2025 17:07:51.572
CRC-Response  - 58,3,F000,2*87d7 * 07-04-2025 17:07:57.182
RA Placed Rack in J22 * 07-04-2025 17:07:57.186
18 Secconds Timer increments in Jar W2 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:08:00.360
Command Sent Rack-1 Picked from J25 - #59,2,2,13934,8590,0,0*f7d2  * 07-04-2025 17:08:00.915
CRC-Response  - 59,2,I001,2*b116 * 07-04-2025 17:08:01.130
CRC-Response  - 59,2,F000,2*8e47 * 07-04-2025 17:08:07.535
RA Picked Rack From J25 * 07-04-2025 17:08:07.540
Command Sent RA-1 Movement - #60,1,1,64754,800 ,0*2156  * 07-04-2025 17:08:07.883
CRC-Response  - 60,1,I001,1*cec9 * 07-04-2025 17:08:08.102
CRC-Response  - 60,1,F000,1*f198 * 07-04-2025 17:08:10.976
RA Moved to assigned Location * 07-04-2025 17:08:10.980
Command Sent Rack-1 Placed in U1 - #61,3,2,61124,16380,0,0*fa88  * 07-04-2025 17:08:11.286
CRC-Response  - 61,3,I001,2*d359 * 07-04-2025 17:08:11.500
5 Secconds Timer increments in Jar W2 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:08:18.420
CRC-Response  - 61,3,F000,2*ec08 * 07-04-2025 17:08:21.992
RA Placed Rack in U1 * 07-04-2025 17:08:21.996
Command Sent RA-2 Movement - #62,1,2,2688,800 ,0*7ea2  * 07-04-2025 17:08:22.294
CRC-Response  - 62,1,I001,2*0528 * 07-04-2025 17:08:22.503
Rack - 1Protocol Ended * 07-04-2025 17:08:23.12
5 Secconds Timer increments in Jar W2 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:08:25.62
5 Secconds Timer increments in Jar W2 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:08:29.87
CRC-Response  - 62,1,F000,2*3a79 * 07-04-2025 17:08:29.904
RA Moved to assigned Location * 07-04-2025 17:08:29.910
Command Sent WATER VALVE - 2 CONTROL OFF - #63,13,2,0*3c6e  * 07-04-2025 17:08:34.249
CRC-Response  - 63,13,F000*ce67 * 07-04-2025 17:08:34.456
Command Sent Rack-3 Picked from W2 - #64,2,1,46604,800,0,0*d580  * 07-04-2025 17:08:34.632
CRC-Response  - 64,2,I001,1*0ec8 * 07-04-2025 17:08:34.840
CRC-Response  - 64,2,F000,1*3199 * 07-04-2025 17:08:42.74
RA Picked Rack From W2 * 07-04-2025 17:08:42.81
Command Sent Rack-3 Placed in J18 - #65,3,1,39344,8590,0,0*a0f9  * 07-04-2025 17:08:42.591
CRC-Response  - 65,3,I001,1*0758 * 07-04-2025 17:08:42.799
CRC-Response  - 65,3,F000,1*3809 * 07-04-2025 17:08:48.824
RA Placed Rack in J18 * 07-04-2025 17:08:48.828
Command Sent READ TEMPERATURE - #66,11*01f6  * 07-04-2025 17:08:53.269
CRC-Response  - 66,11,F000,545*0d1d * 07-04-2025 17:08:53.476
Command Sent Rack-2 Picked from J22 - #67,2,2,24824,8590,0,0*9079  * 07-04-2025 17:08:57.955
CRC-Response  - 67,2,I001,2*0078 * 07-04-2025 17:08:58.234
CRC-Response  - 67,2,F000,2*3f29 * 07-04-2025 17:09:05.842
RA Picked Rack From J22 * 07-04-2025 17:09:05.849
Command Sent Rack-2 Placed in J23 - #68,3,2,21194,8590,0,0*af49  * 07-04-2025 17:09:06.490
CRC-Response  - 68,3,I001,2*fc89 * 07-04-2025 17:09:06.717
CRC-Response  - 68,3,F000,2*c3d8 * 07-04-2025 17:09:12.309
RA Placed Rack in J23 * 07-04-2025 17:09:12.315
Command Sent WATER VALVE - 2 CONTROL ON - #69,13,2,1*832f  * 07-04-2025 17:09:13.485
CRC-Response  - 69,13,F000*6e19 * 07-04-2025 17:09:13.694
Command Sent WATER VALVE - 1 CONTROL ON - #70,13,1,1*7912  * 07-04-2025 17:09:14.324
CRC-Response  - 70,13,F000*fb22 * 07-04-2025 17:09:14.540
Command Sent Rack-6 Picked from J2 - #71,2,2,13934,800,0,0*dbf2  * 07-04-2025 17:09:15.965
CRC-Response  - 71,2,I001,2*e39c * 07-04-2025 17:09:16.178
5 Secconds Timer increments in Jar J8 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:09:22.0
CRC-Response  - 71,2,F000,2*dccd * 07-04-2025 17:09:22.195
RA Picked Rack From J2 * 07-04-2025 17:09:22.207
Command Sent Rack-6 Placed in J4 - #72,3,2,21194,800,0,0*4b11  * 07-04-2025 17:09:22.445
CRC-Response  - 72,3,I001,2*20ad * 07-04-2025 17:09:22.658
5 Secconds Timer increments in Jar J8 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:09:27.38
CRC-Response  - 72,3,F000,2*1ffc * 07-04-2025 17:09:28.670
RA Placed Rack in J4 * 07-04-2025 17:09:28.676
11 Secconds Timer increments in Jar J6 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:09:31.197
Command Sent Rack-4 Picked from J8 - #73,2,2,35714,800,0,0*0b11  * 07-04-2025 17:09:32.227
CRC-Response  - 73,2,I001,2*293d * 07-04-2025 17:09:32.434
CRC-Response  - 73,2,F000,2*166c * 07-04-2025 17:09:39.257
RA Picked Rack From J8 * 07-04-2025 17:09:39.261
Command Sent RA-1 Movement - #74,1,1,64754,800 ,0*ec2a  * 07-04-2025 17:09:39.679
CRC-Response  - 74,1,I001,1*e78c * 07-04-2025 17:09:39.887
5 Secconds Timer increments in Jar J6 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:09:42.205
CRC-Response  - 74,1,F000,1*d8dd * 07-04-2025 17:09:43.589
RA Moved to assigned Location * 07-04-2025 17:09:43.594
Command Sent Rack-4 Placed in W2 - #75,3,2,46604,800,0,0*6992  * 07-04-2025 17:09:44.79
CRC-Response  - 75,3,I001,2*fa1c * 07-04-2025 17:09:44.290
5 Secconds Timer increments in Jar J6 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:09:47.227
5 Secconds Timer increments in Jar J18 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:09:49.533
CRC-Response  - 75,3,F000,2*c54d * 07-04-2025 17:09:50.710
RA Placed Rack in W2 * 07-04-2025 17:09:50.716
Command Sent RA-2 Movement - #76,1,2,2688,800 ,0*43b1  * 07-04-2025 17:09:51.56
CRC-Response  - 76,1,I001,2*2c6d * 07-04-2025 17:09:51.266
5 Secconds Timer increments in Jar J6 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:09:52.243
5 Secconds Timer increments in Jar J18 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:09:54.550
CRC-Response  - 76,1,F000,2*133c * 07-04-2025 17:09:57.19
RA Moved to assigned Location * 07-04-2025 17:09:57.23
Command Sent Rack-5 Picked from J6 - #77,2,2,28454,800,0,0*f841  * 07-04-2025 17:09:57.412
CRC-Response  - 77,2,I001,2*fc7c * 07-04-2025 17:09:57.618
5 Secconds Timer increments in Jar J18 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:09:59.581
5 Secconds Timer increments in Jar J18 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:10:04.619
CRC-Response  - 77,2,F000,2*c32d * 07-04-2025 17:10:05.706
RA Picked Rack From J6 * 07-04-2025 17:10:05.713
Command Sent RA-1 Movement - #78,1,1,64754,800 ,0*bfe9  * 07-04-2025 17:10:06.394
CRC-Response  - 78,1,I001,1*d84c * 07-04-2025 17:10:06.602
CRC-Response  - 78,1,F000,1*e71d * 07-04-2025 17:10:07.348
RA Moved to assigned Location * 07-04-2025 17:10:07.354
Command Sent Rack-5 Placed in W1 - #79,3,2,42974,800,0,0*39f1  * 07-04-2025 17:10:07.782
CRC-Response  - 79,3,I001,2*c5dc * 07-04-2025 17:10:07.995
5 Secconds Timer increments in Jar J18 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:10:09.610
5 Seconds Timer increments in Jar J23 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:10:12.879
5 Secconds Timer increments in Jar J18 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:10:14.637
CRC-Response  - 79,3,F000,2*fa8d * 07-04-2025 17:10:14.821
RA Placed Rack in W1 * 07-04-2025 17:10:14.829
Command Sent RA-2 Movement - #80,1,2,2688,800 ,0*f561  * 07-04-2025 17:10:15.273
CRC-Response  - 80,1,I001,2*27bd * 07-04-2025 17:10:15.486
5 Seconds Timer increments in Jar J23 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:10:17.901
5 Secconds Timer increments in Jar J18 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:10:19.655
CRC-Response  - 80,1,F000,2*18ec * 07-04-2025 17:10:20.842
RA Moved to assigned Location * 07-04-2025 17:10:20.851
Command Sent WATER VALVE - 6 CONTROL ON - #81,13,6,1*8423  * 07-04-2025 17:10:21.812
CRC-Response  - 81,13,F000*5b1f * 07-04-2025 17:10:22.229
11 Seconds Timer increments in Jar J23 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:10:22.924
Command Sent Rack-3 Picked from J18 - #82,2,1,39344,8590,0,0*c5f2  * 07-04-2025 17:10:24.812
CRC-Response  - 82,2,I001,1*f91c * 07-04-2025 17:10:25.21
CRC-Response  - 82,2,F000,1*c64d * 07-04-2025 17:10:33.89
RA Picked Rack From J18 * 07-04-2025 17:10:33.97
Command Sent Rack-3 Placed in W6 - #83,3,1,42974,8590,0,0*f895  * 07-04-2025 17:10:33.753
CRC-Response  - 83,3,I001,1*f08c * 07-04-2025 17:10:33.968
5 Seconds Timer increments in Jar J23 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:10:33.986
5 Seconds Timer increments in Jar J23 for R2 as Command Execution under process in other function and timer updated for tmr_r2_incub() * 07-04-2025 17:10:38.984
CRC-Response  - 83,3,F000,1*cfdd * 07-04-2025 17:10:39.583
RA Placed Rack in W6 * 07-04-2025 17:10:39.587
Command Sent Rack-2 Picked from J23 - #84,2,2,21194,8590,0,0*b0e7  * 07-04-2025 17:10:44.197
CRC-Response  - 84,2,I001,2*e7bc * 07-04-2025 17:10:44.413
5 Secconds Timer increments in Jar W2 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:10:50.936
CRC-Response  - 84,2,F000,2*d8ed * 07-04-2025 17:10:51.685
RA Picked Rack From J23 * 07-04-2025 17:10:51.691
Command Sent Rack-2 Placed in J24 - #85,3,2,17564,8590,0,0*8340  * 07-04-2025 17:10:52.179
CRC-Response  - 85,3,I001,2*ee2c * 07-04-2025 17:10:52.398
5 Secconds Timer increments in Jar W2 for R4 as Command Execution under process in other function and timer updated for tmr_r4_incub() * 07-04-2025 17:10:55.970
CRC-Response  - 85,3,F000,2*d17d * 07-04-2025 17:10:57.996
RA Placed Rack in J24 * 07-04-2025 17:10:58.0
Command Sent WATER VALVE - 2 CONTROL OFF - #86,13,2,0*63e2  * 07-04-2025 17:11:01.180
CRC-Response  - 86,13,F000*6b39 * 07-04-2025 17:11:01.397
Command Sent Rack-4 Picked from W2 - #87,2,1,46604,800,0,0*bead  * 07-04-2025 17:11:01.577
CRC-Response  - 87,2,I001,1*e90c * 07-04-2025 17:11:01.796
CRC-Response  - 87,2,F000,1*d65d * 07-04-2025 17:11:07.600
RA Picked Rack From W2 * 07-04-2025 17:11:07.605
Command Sent Rack-4 Placed in J9 - #88,3,1,39344,800,0,0*71e4  * 07-04-2025 17:11:08.74
CRC-Response  - 88,3,I001,1*15fd * 07-04-2025 17:11:08.287
CRC-Response  - 88,3,F000,1*2aac * 07-04-2025 17:11:14.303
RA Placed Rack in J9 * 07-04-2025 17:11:14.308
Command Sent READ TEMPERATURE - #89,11*d49c  * 07-04-2025 17:11:18.152
CRC-Response  - 89,11,F000,545*cc06 * 07-04-2025 17:11:18.358
Command Sent Rack-6 Picked from J4 - #90,2,2,21194,800,0,0*4c50  * 07-04-2025 17:11:29.201
CRC-Response  - 90,2,I001,2*cef9 * 07-04-2025 17:11:29.415
CRC-Response  - 90,2,F000,2*f1a8 * 07-04-2025 17:11:35.206
RA Picked Rack From J4 * 07-04-2025 17:11:35.219
Command Sent Rack-6 Placed in J5 - #91,3,2,24824,800,0,0*556f  * 07-04-2025 17:11:35.668
CRC-Response  - 91,3,I001,2*c769 * 07-04-2025 17:11:35.889
5 Secconds Timer increments in Jar W6 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:11:40.110
CRC-Response  - 91,3,F000,2*f838 * 07-04-2025 17:11:41.485
RA Placed Rack in J5 * 07-04-2025 17:11:41.492
Command Sent WATER VALVE - 6 CONTROL OFF - #92,13,6,0*c1af  * 07-04-2025 17:11:45.334
CRC-Response  - 92,13,F000*6e5a * 07-04-2025 17:11:45.550
Command Sent Rack-3 Picked from W6 - #93,2,1,42974,8590,0,0*d5d4  * 07-04-2025 17:11:45.732
CRC-Response  - 93,2,I001,1*c049 * 07-04-2025 17:11:45.953
CRC-Response  - 93,2,F000,1*ff18 * 07-04-2025 17:11:51.738
RA Picked Rack From W6 * 07-04-2025 17:11:51.742
Command Sent RA-2 Movement - #94,1,2,2688,800 ,0*c872  * 07-04-2025 17:11:52.204
CRC-Response  - 94,1,I001,2*0ef8 * 07-04-2025 17:11:52.416
CRC-Response  - 94,1,F000,2*31a9 * 07-04-2025 17:11:55.733
RA Moved to assigned Location * 07-04-2025 17:11:55.738
Command Sent Rack-3 Placed in J19 - #95,3,1,35714,8590,0,0*90f7  * 07-04-2025 17:11:56.622
CRC-Response  - 95,3,I001,1*1368 * 07-04-2025 17:11:56.843
CRC-Response  - 95,3,F000,1*2c39 * 07-04-2025 17:12:02.851
RA Placed Rack in J19 * 07-04-2025 17:12:02.860
Command Sent RA-1 Movement - #96,1,1,64754,800 ,0*bde1  * 07-04-2025 17:12:03.565
CRC-Response  - 96,1,I001,1*c519 * 07-04-2025 17:12:03.780
CRC-Response  - 96,1,F000,1*fa48 * 07-04-2025 17:12:07.876
RA Moved to assigned Location * 07-04-2025 17:12:07.880
Command Sent WATER VALVE - 2 CONTROL ON - #97,13,2,1*ffef  * 07-04-2025 17:12:08.210
CRC-Response  - 97,13,F000*3e65 * 07-04-2025 17:12:08.417
Command Sent Rack-4 Picked from J9 - #98,2,1,39344,800,0,0*3088  * 07-04-2025 17:12:15.259
CRC-Response  - 98,2,I001,1*2538 * 07-04-2025 17:12:15.473
5 Secconds Timer increments in Jar W1 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:12:15.478
5 Secconds Timer increments in Jar W1 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:12:20.480
CRC-Response  - 98,2,F000,1*1a69 * 07-04-2025 17:12:23.528
RA Picked Rack From J9 * 07-04-2025 17:12:23.535
Command Sent Rack-4 Placed in W2 - #99,3,1,46604,800,0,0*16ab  * 07-04-2025 17:12:24.258
CRC-Response  - 99,3,I001,1*2ca8 * 07-04-2025 17:12:24.469
5 Secconds Timer increments in Jar W1 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:12:25.491
CRC-Response  - 99,3,F000,1*13f9 * 07-04-2025 17:12:30.481
5 Secconds Timer increments in Jar W1 for R5 as Command Execution under process in other function and timer upated for tmr_r5_incub() * 07-04-2025 17:12:30.484
RA Placed Rack in W2 * 07-04-2025 17:12:30.488
Command Sent WATER VALVE - 1 CONTROL OFF - #100,13,1,0*44de  * 07-04-2025 17:12:35.700
CRC-Response  - 100,13,F000*3e1e * 07-04-2025 17:12:35.905
Command Sent Rack-5 Picked from W1 - #101,2,1,42974,800,0,0*5cae  * 07-04-2025 17:12:36.84
CRC-Response  - 101,2,I001,1*f319 * 07-04-2025 17:12:36.304
CRC-Response  - 101,2,F000,1*cc48 * 07-04-2025 17:12:41.920
RA Picked Rack From W1 * 07-04-2025 17:12:41.926
Command Sent RA-2 Movement - #102,1,2,2688,800 ,0*cf65  * 07-04-2025 17:12:42.564
CRC-Response  - 102,1,I001,2*e8e9 * 07-04-2025 17:12:42.784
CRC-Response  - 102,1,F000,2*d7b8 * 07-04-2025 17:12:43.507
RA Moved to assigned Location * 07-04-2025 17:12:43.513
Command Sent Rack-5 Placed in J8 - #103,3,1,35714,800,0,0*0fac  * 07-04-2025 17:12:43.954
CRC-Response  - 103,3,I001,1*f579 * 07-04-2025 17:12:44.167
CRC-Response  - 103,3,F000,1*ca28 * 07-04-2025 17:12:50.183
RA Placed Rack in J8 * 07-04-2025 17:12:50.187
Command Sent RA-1 Movement - #104,1,1,64754,800 ,0*82e7  * 07-04-2025 17:12:50.421
CRC-Response  - 104,1,I001,1*f649 * 07-04-2025 17:12:50.632
CRC-Response  - 104,1,F000,1*c918 * 07-04-2025 17:12:54.724
RA Moved to assigned Location * 07-04-2025 17:12:54.728
Command Sent Rack-2 Picked from J24 - #105,2,2,17564,8590,0,0*fc3b  * 07-04-2025 17:12:58.830
CRC-Response  - 105,2,I001,2*2718 * 07-04-2025 17:12:59.39
5 Secconds Timer increments in Jar J19 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:13:03.583
CRC-Response  - 105,2,F000,2*1849 * 07-04-2025 17:13:05.897
RA Picked Rack From J24 * 07-04-2025 17:13:05.901
Command Sent Rack-2 Placed in J25 - #106,3,2,13934,8590,0,0*6b21  * 07-04-2025 17:13:06.309
CRC-Response  - 106,3,I001,2*e429 * 07-04-2025 17:13:06.526
5 Secconds Timer increments in Jar J19 for R3 as Command Execution under process in other function and timer upadted for tmr_r3_incub() * 07-04-2025 17:13:08.581
CRC-Response  - 106,3,F000,2*db78 * 07-04-2025 17:13:12.127
RA Placed Rack in J25 * 07-04-2025 17:13:12.132
Command Sent Rack-3 Picked from J19 - #107,2,2,35714,8590,0,0*2da5  * 07-04-2025 17:13:13.751
CRC-Response  - 107,2,I001,2*edb9 * 07-04-2025 17:13:13.971
CRC-Response  - 107,2,F000,2*d2e8 * 07-04-2025 17:13:21.605
RA Picked Rack From J19 * 07-04-2025 17:13:21.615
Command Sent Rack-3 Placed in J20 - #108,3,2,32084,8590,0,0*3f70  * 07-04-2025 17:13:22.236
CRC-Response  - 108,3,I001,2*1148 * 07-04-2025 17:13:22.457
CRC-Response  - 108,3,F000,2*2e19 * 07-04-2025 17:13:28.55
RA Placed Rack in J20 * 07-04-2025 17:13:28.62
Command Sent WATER VALVE - 2 CONTROL OFF - #109,13,2,0*2eee  * 07-04-2025 17:13:30.919
CRC-Response  - 109,13,F000*6e74 * 07-04-2025 17:13:31.132
Command Sent Rack-4 Picked from W2 - #110,2,1,46604,800,0,0*70de  * 07-04-2025 17:13:31.311
CRC-Response  - 110,2,I001,1*ca4c * 07-04-2025 17:13:31.530
CRC-Response  - 110,2,F000,1*f51d * 07-04-2025 17:13:38.765
RA Picked Rack From W2 * 07-04-2025 17:13:38.772
Command Sent Rack-4 Placed in J18 - #111,3,1,39344,8590,0,0*58dd  * 07-04-2025 17:13:39.266
CRC-Response  - 111,3,I001,1*c3dc * 07-04-2025 17:13:39.475
5 Secconds Timer increments in Jar J5 for R6 as Command Execution under process in other function and timer updated for tmr_r6_incub() * 07-04-2025 17:13:42.236
CRC-Response  - 111,3,F000,1*fc8d * 07-04-2025 17:13:45.499
RA Placed Rack in J18 * 07-04-2025 17:13:45.503
Command Sent Rack-6 Picked from J5 - #112,2,2,24824,800,0,0*ea81  * 07-04-2025 17:13:47.422
CRC-Response  - 112,2,I001,2*01ad * 07-04-2025 17:13:47.632
CRC-Response  - 112,2,F000,2*3efc * 07-04-2025 17:13:53.648
RA Picked Rack From J5 * 07-04-2025 17:13:53.652
Command Sent Rack-6 Placed in J6 - #113,3,2,28454,800,0,0*1c73  * 07-04-2025 17:13:53.866
CRC-Response  - 113,3,I001,2*083d * 07-04-2025 17:13:54.80
CRC-Response  - 113,3,F000,2*376c * 07-04-2025 17:13:59.689
RA Placed Rack in J6 * 07-04-2025 17:13:59.697
Command Sent READ TEMPERATURE - #114,11*4362  * 07-04-2025 17:14:04.688
CRC-Response  - 114,11,F000,545*2206 * 07-04-2025 17:14:04.893
Command Sent Rack-3 Picked from J20 - #115,2,2,32084,8590,0,0*0e1c  * 07-04-2025 17:14:13.822
CRC-Response  - 115,2,I001,2*db1c * 07-04-2025 17:14:14.32
CRC-Response  - 115,2,F000,2*e44d * 07-04-2025 17:14:19.823
